# Formato: termino|nivel(alto/medio/bajo)|nota
# Infectologia y sepsis
intento suicida reciente|alto|Prioridad alta de seguridad
psicosis aguda con riesgo|alto|Riesgo para paciente/terceros
trastorno depresivo mayor|medio|Seguimiento clinico cercano

# Reumatologia/autoinmune
lupus con compromiso renal|alto|Afectacion organica mayor
vasculitis sistemica activa|alto|Riesgo multiorganico
artritis reumatoide activa|medio|Seguimiento inflamatorio y funcional

# Endocrino y otros
tormenta tiroidea|alto|Emergencia endocrina
coma mixedematoso|alto|Riesgo vital
obesidad morbida con apnea|medio|Riesgo cardiometabolico
desnutricion severa|medio|Mayor vulnerabilidad clinica

# Terminos generales graves
estado terminal|alto|Enfermedad avanzada
pronostico reservado|alto|Alerta de gravedad
enfermedad mortal|alto|Riesgo alto por descripcion clinica
riesgo vital|alto|Compromiso mayor
falla multiorganica|alto|Riesgo vital
coma|alto|Compromiso neurologico severo

# Oncologia ampliada
adenocarcinoma|alto|Neoplasia maligna
carcinoma epidermoide|alto|Neoplasia maligna
carcinoma escamocelular|alto|Neoplasia maligna
glioma de alto grado|alto|Tumor cerebral agresivo
tumor cerebral maligno|alto|Riesgo neurologico-oncologico
melanoma metastasico|alto|Riesgo de progresion sistemica
mesotelioma|alto|Neoplasia de mal pronostico

# Infecciones graves ampliadas
endocarditis infecciosa|alto|Riesgo de complicaciones graves
fascitis necrotizante|alto|Infeccion de progresion rapida
absceso cerebral|alto|Compromiso neurologico grave
neumonia nosocomial grave|alto|Mayor mortalidad intrahospitalaria
dengue grave|alto|Riesgo hemorragico y shock
malaria grave|alto|Compromiso multiorganico

# Urgencias cardio-neuro adicionales
paro cardiorrespiratorio|alto|Riesgo vital inmediato
taponamiento cardiaco|alto|Compromiso hemodinamico
diseccion aortica|alto|Emergencia vascular
miocarditis fulminante|alto|Riesgo de choque cardiogenico
edema agudo de pulmon|alto|Urgencia respiratoria
accidente isquemico transitorio recurrente|medio|Riesgo de evento cerebrovascular

# Respiratorio ampliado
neumotorax a tension|alto|Compromiso ventilatorio agudo
neumotorax espontaneo complicado|alto|Riesgo respiratorio
tromboembolismo pulmonar|alto|Riesgo hemodinamico y respiratorio
bronquiectasias severas|medio|Riesgo de exacerbaciones frecuentes

# Nefro-metabolico ampliado
sindrome uremico hemolitico|alto|Compromiso renal y hematologico
acidosis metabolica severa|alto|Inestabilidad metabolica
insuficiencia renal terminal|alto|Complicaciones de alto riesgo

# Hepato-gastro ampliado
colangitis aguda|alto|Riesgo de sepsis biliar
isquemia mesenterica|alto|Emergencia abdominal
perforacion intestinal|alto|Riesgo septico y quirurgico
hepatocarcinoma|alto|Neoplasia hepatica maligna

# Hematologia ampliada
coagulacion intravascular diseminada|alto|Riesgo hemorragico/trombotico
anemia hemolitica severa|medio|Riesgo de descompensacion
trombocitopenia severa|alto|Riesgo hemorragico
neutropenia febril|alto|Riesgo de infeccion grave

# Autoinmune/reuma ampliado
esclerosis sistemica con compromiso pulmonar|alto|Afectacion organica mayor
miastenia gravis en crisis|alto|Riesgo respiratorio
dermatomiositis con compromiso intersticial|alto|Riesgo pulmonar

# Obstetricia ampliada
sindrome hellp|alto|Complicacion obstetrica grave
desprendimiento prematuro de placenta|alto|Riesgo materno-fetal
placenta previa sangrante|alto|Hemorragia obstetrica

# Pediatria/infeccioso adicional
bronquiolitis grave|alto|Compromiso respiratorio pediatrico
sepsis neonatal|alto|Riesgo vital neonatal

# Enfermedades cronicas relevantes (riesgo medio base)
enfermedad pulmonar obstructiva cronica|medio|Riesgo de exacerbaciones
cardiopatia isquemica cronica|medio|Riesgo cardiovascular persistente
demencia avanzada|medio|Alta fragilidad clinica
enfermedad de parkinson avanzada|medio|Deterioro funcional progresivo
